class,CL,LOC,LOCE,CCMax,CCSum,NMax,n1,n2,n,N1,N2,N,V,L,D,E,T,WMC,DIT,NOC,CBO,RFC,LCOM,Class,Size,Ties,Pairs,Density,AvgDist,Diameter,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Size2,Ties2,Pairs2,Density2,AvgDist2,Diameter2,nWeakComp2,pWeakComp2,2StepReach2,ReachEffic2,Broker2,nBroker2,EgoBetween2,nEgoBetween2,Size3,Ties3,Pairs3,Density3,AvgDist3,Diameter3,nWeakComp3,pWeakComp3,2StepReach3,ReachEffic3,Broker3,nBroker3,EgoBetween3,nEgoBetween3,Degree,NrmDegree,Share,OutDegree,InDegree,NrmOutDeg,NrmInDeg,Clus Coef,nPairs,Eigenvec,nEigenvec,Power,Normalized Power,inFarness,outFarness,inCloseness,outCloseness,OutdwReach,IndwReach,nOutdwReach,nIndwReach,Betweenness,nBetweenness,Betweenness2,EffSize,Efficiency,Constraint,Hierarchy,Indirectsfile,blocker,critical,major,normal,minor,trivial,enhancement,high,middle,low,non
testcases\org\apache\tools\ant\DummyTaskWithNonPublicExecute.java,9,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,13,1,testcases\org\apache\tools\ant\DummyTaskWithNonPublicExecute.java-->DummyTaskWithNonPublicExecute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,-0.000014,-0.000005,467172,467172,0.146199,0.146199,1,1,0.001462,0.001462,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1
testcases\org\apache\tools\ant\DummyTaskWithNonVoidExecute.java,10,7,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,13,1,testcases\org\apache\tools\ant\DummyTaskWithNonVoidExecute.java-->DummyTaskWithNonVoidExecute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,-0.000001,0,467172,467172,0.146199,0.146199,1,1,0.001462,0.001462,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\taskdefs\WaitFor.java,124,84,52,7,12,3,52,43,95,99,63,162,751.1153296,1.258136854,29.55832463,4835.658895,14.92487313,12,3,0,8,42,10,main\org\apache\tools\ant\taskdefs\WaitFor.java-->WaitFor,2,0,2,0,,,2,100,45.241581,95.665634,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,,,2,100,45.241581,95.665634,1,0.5,0,0,2,0.292826,0.000489,2,0,0.292826,0,0,1,0.018876,2.669459,9.18483,3.330687,467172,420933,0.146199,0.162259,22.421829,1,0.03278,0.001462,0,0,0.033681,2,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\taskdefs\condition\ConditionBase.java,127,24,18,1,17,0,90,75,165,105,90,195,674.5891656,3.87223697,58.10594799,2613.176198,8.065358637,17,2,5,17,33,0,main\org\apache\tools\ant\taskdefs\condition\ConditionBase.java-->ConditionBase,17,0,272,0,,,17,100,6.149341,65.625,136,0.5,44,16.17647,3,0,6,0,,,3,100,0.732064,71.428574,3,0.5,2,33.333332,15,0,210,0,,,15,100,5.856515,67.796608,105,0.5,14,6.666667,17,2.489019,0.004159,15,3,2.196193,0.439239,0,136,0.015993,2.261781,32.417809,11.755641,465123,421553,0.146843,0.16202,32.151188,4,0.047005,0.005848,182.166672,0.039108,0.557552,17,1,0.061728,0.040498,0,0,0,0,1,0,0,2,0,1,2,0
main\org\apache\tools\ant\types\EnumeratedAttribute.java,90,39,17,4,12,2,44,23,67,80,43,123,567.1107112,1.040584681,17.98022288,4255.285555,13.13359739,12,1,42,2,19,26,main\org\apache\tools\ant\types\EnumeratedAttribute.java-->EnumeratedAttribute,35,40,1190,3.361345,,,1,2.857143,50.073208,58.561646,575,0.483193,2,0.168067,34,8,1122,0.713012,,,28,82.352943,15.959004,39.208633,557,0.496435,0,0,1,0,0,,0,0,1,100,44.802341,100,0,,0,,35,5.124451,0.008562,1,34,0.146413,4.978038,0.033613,595,0.074894,10.591609,1.214955,0.440578,396282,465807,0.172352,0.146627,2.5,60.183319,0.003655,0.087987,1.666667,0.000358,0.356704,32.728573,0.935102,0.059055,0.290222,0.188188,0,0,0,0,0,0,1,0,0,1,0
main\org\apache\tools\ant\taskdefs\optional\ejb\EjbJar.java,508,195,116,7,38,3,170,156,326,359,269,628,2928.492703,5.71502067,96.40063703,19309.21678,59.5963481,38,4,0,28,204,180,main\org\apache\tools\ant\taskdefs\optional\ejb\EjbJar.java-->EjbJar,15,39,210,18.571428,,,1,6.666667,54.612007,45.992603,85.5,0.407143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,39,210,18.571428,,,1,6.666667,54.612007,45.992603,85.5,0.407143,0,0,15,2.196193,0.003669,15,0,2.196193,0,0.185714,105,0.067176,9.500092,94.361893,34.218369,467172,400410,0.146199,0.170575,47.33453,1,0.069203,0.001462,0,0,0.163551,10.033333,0.668889,0.120922,0.058917,0.297619,0,0,0,1,0,1,3,0,1,4,0
main\org\apache\tools\ant\taskdefs\Ear.java,97,58,34,3,11,2,59,57,116,131,87,218,1050.261734,0.835361011,31.29362672,7332.563127,22.63136768,11,6,0,8,301,17,main\org\apache\tools\ant\taskdefs\Ear.java-->Ear,6,12,30,40,,,1,16.666666,50.951683,62.365593,9,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,30,40,,,1,16.666666,50.951683,62.365593,9,0.3,0,0,6,0.878477,0.001468,6,0,0.878477,0,0.4,15,0.040099,5.670886,31.946751,11.584822,467172,408631,0.146199,0.167143,33.351212,1,0.048759,0.001462,0,0,0.004216,2.25,0.375,0.242493,0.001782,0.205264,0,2,0,3,0,0,1,2,3,1,0
main\org\apache\tools\ant\types\ZipFileSet.java,125,70,40,3,17,1,78,55,133,147,88,235,1073.543061,2.037454519,31.84200157,6757.093701,20.85522747,17,5,0,8,103,47,main\org\apache\tools\ant\types\ZipFileSet.java-->ZipFileSet,10,22,90,24.444445,,,1,10,47.437775,64.158417,34,0.377778,8.333333,9.259259,4,5,12,41.666668,,,1,25,2.781845,50,3.5,0.291667,0,0,6,8,30,26.666666,,,2,33.333332,46.705711,68.30835,11,0.366667,0,0,10,1.464129,0.002446,6,4,0.878477,0.585652,0.244444,45,0.04178,5.908562,14.574677,5.285202,464440,437958,0.147059,0.155951,15.583735,5,0.022783,0.00731,9.3,0.001997,0.059931,5.6,0.56,0.175087,0.032097,0.299427,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\zip\ZipOutputStream.java,600,262,207,7,37,2,193,246,439,932,605,1537,8245.043425,2.841872508,102.7426485,92034.23112,284.0562689,37,4,0,16,58,91,main\org\apache\tools\zip\ZipOutputStream.java-->ZipOutputStream,5,3,20,15,,,2,40,4.245974,67.441864,8.5,0.425,4,20,2,1,2,50,,,1,50,2.781845,73.07692,0.5,0.25,0,0,3,1,6,16.666666,,,2,66.666664,1.756955,70.588234,2.5,0.416667,0,0,5,0.732064,0.001223,3,2,0.439239,0.292826,0.15,10,0.003934,0.556338,3.532409,1.280954,464442,463760,0.147058,0.147274,4.833333,4,0.007066,0.005848,8.333333,0.001789,1.398462,3.8,0.76,0.265955,0.011138,0.147974,0,1,1,1,0,0,1,2,1,1,0
main\org\apache\tools\ant\taskdefs\Jar.java,311,171,111,6,33,3,153,181,334,432,299,731,3674.161405,1.997739387,90.08687793,29021.12405,89.57137054,33,5,2,19,292,99,main\org\apache\tools\ant\taskdefs\Jar.java-->Jar,9,16,72,22.222221,,,1,11.111111,50.805271,66.221375,28,0.388889,5,6.944445,2,0,2,0,,,2,100,1.02489,58.333332,1,0.5,0,0,7,8,42,19.047619,,,1,14.285714,50.805271,67.773438,17,0.404762,0,0,9,1.317716,0.002202,7,2,1.02489,0.292826,0.222222,36,0.037621,5.320347,25.489676,9.243299,465806,409312,0.146628,0.166865,33.434547,3,0.048881,0.004386,8.666667,0.001861,0.810634,5.666667,0.62963,0.201991,0.020899,0.332929,2,6,7,14,2,0,5,15,14,7,0
