"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"Density2",1242.023275,14.4421311046512,21.1122645299721,445.727713583518,0,0,0,25,100,1.9602835626889,7.54943303442001,1.54505688354571e-11,NA
"nWeakComp2",156,1.35652173913043,1.42774085040906,2.03844393592677,0,1,1,2,12,3.93308149030865,28.3979139114487,4.45468151471985e-15,5.59988484484242e-05
"pWeakComp2",6586.504899,57.2739556434783,42.1452908072149,1776.22553722471,0,13.392857,60,100,100,-0.214893697704952,1.34596163811421,1.50623661499159e-11,3.55807521223994e-08
"X2StepReach2",1892.982446,16.4607169217391,13.1462604490853,172.824163795183,0,5.263158,16.666666,23.68421,65.789474,0.670429338699184,3.73167327873722,9.10075979182465e-06,0.174411051698988
"ReachEffic2",6850.133204,59.5663756869565,36.7107827405378,1347.68156942297,0,33.179348,64.38356,100,100,-0.520930641464773,1.93663041671986,3.05931025795121e-09,0.00725372539244185
"Broker2",1264,10.9913043478261,52.8526577618787,2793.40343249428,0,0,0.5,3,499,7.66885202479665,66.9818493262024,2.96374002602264e-22,0
"nBroker2",24.789883,0.288254453488372,0.204067376098689,0.0416434939878037,0,0,0.3660715,0.48124975,0.5,-0.51162100722344,1.58346696377804,9.82936563080726e-10,NA
"EgoBetween2",431.999999,3.75652173043478,24.7656686994019,613.338346128536,0,0,0,0,236,8.20879537253318,72.889987815206,6.05031375402954e-23,0
"nEgoBetween2",629.907724,7.32450841860465,17.8983530245515,320.351040991471,0,0,0,0,91.666664,2.69382002468134,9.9418894521472,5.6192194609019e-16,NA
"Size3",333,2.89565217391304,4.05093429345448,16.4100686498856,0,0,2,3.5,23,2.92445443526968,12.4010891216792,2.14383906684635e-15,1.97167326522196e-05
"Ties3",348,3.02608695652174,7.27102018658838,52.8677345537757,0,0,0,3,48,4.0629285508827,21.1459816017163,9.26108921465768e-19,3.19089199507516e-11
"Pairs3",2502,21.7565217391304,72.6293874242385,5275.02791762014,0,0,2,9,506,4.63287091056917,25.2800851905985,7.99577822356951e-21,0
"Density3",1877.559965,18.77559965,24.3413884091468,592.503189684947,0,0,7.610294,33.333332,100,1.19866285557921,3.43667596277084,5.3332824750962e-11,NA
"nWeakComp3",138,1.2,1.1637808921409,1.35438596491228,0,0,1,2,6,1.5507687898021,6.46317350801364,4.40408366059047e-11,0.00118567657419466
"pWeakComp3",4968.182624,43.2015880347826,38.9471390241272,1516.87963816469,0,0,33.333332,87.5,100,0.377366888458068,1.64765939026414,7.44149783869496e-10,0.00125241340891358
"X2StepReach3",2077.19297,18.0625475652174,17.5503584923756,308.0150832109,0,0,15.789474,31.578947,74.561401,0.754568655920901,3.13050577909495,1.5355337381566e-08,0.00142946787200871
"ReachEffic3",5723.122813,50.2028316929825,36.9529434792072,1365.52003177748,0,0,52.241716,82.991806,100,-0.22303263471696,1.62849179346347,1.28920998662467e-08,NA
"Broker3",1077,9.36521739130435,33.0780126354119,1094.15491990847,0,0,1,2.5,234.5,4.70466007843089,26.1567970705072,5.09295487403004e-21,0
"nBroker3",24.112205,0.24112205,0.198376556797918,0.0393532582869975,0,0,0.25,0.416667,0.5,-0.0948115371173062,1.38624303595977,3.17826365407784e-09,NA
"EgoBetween3",457.66666,3.97971008695652,24.4928491996694,599.899661917747,0,0,0,0,218.833328,7.60485274456068,61.8653568615107,8.34725908586685e-23,0
"nEgoBetween3",598.405607,5.98405607,14.8134569182487,219.438505868809,0,0,0,0,71.51416,2.87477384976586,10.733335319715,2.58587585167818e-17,NA
"Degree",604,5.25217391304348,5.55805639110309,30.8919908466819,0,2,4,6,35,2.81289354641889,12.330938587774,2.30412730396619e-14,3.01928100165938e-06
"OutDegree",333,2.89565217391304,4.05093429345448,16.4100686498856,0,0,2,3.5,23,2.92445443526968,12.4010891216792,2.14383906684635e-15,2.28158720736449e-05
"InDegree",333,2.89565217391304,4.43742835483251,19.6907704042716,0,1,2,3,33,4.17573121156333,24.6018211629477,6.05227393898359e-17,2.49475031688373e-06
"Clus.Coef",23.808216,0.23808216,0.189829901789759,0.0360353916135095,0,0.079555,0.234722,0.333333,0.833333,0.646878605021462,3.09681660180942,5.96972905851502e-05,NA
"Eigenvec",7.542793,0.0655895043478261,0.0665748446544259,0.00443220994076095,0,0.0186555,0.052125,0.081063,0.329053,1.80573695613713,6.68197118549819,1.25816588277435e-10,0.00282603101117407
"Power",18407.391193,160.064271243478,292.647410463381,85642.5068509227,-0.000207,6.8e-05,3.410061,374.994812,1524.008179,2.59431822173918,11.1331660155418,2.43575556015439e-16,5.07260899951234e-13
"inCloseness",116.569004,1.01364351304348,0.163835698844876,0.0268421362159889,0.869565,0.896772,0.94246,1.0448105,1.362658,0.985679437023163,2.29574661901674,1.87221425377294e-12,1.24291006042831e-06
"outCloseness",123.175403,1.07109046086957,0.452618785800552,0.204863765259566,0.869565,0.869565,0.90083,1.096365,3.199551,3.79137028090579,17.0373397568839,6.23984659380676e-19,3.62588847835354e-11
"OutdwReach",996.816674,8.66797107826087,9.75692611923759,95.1976072962606,1,1,4.5,14,49.416656,1.91395805005611,7.41827119570717,3.41047352230364e-12,4.59700363579785e-05
"IndwReach",996.816657,8.66797093043478,7.54141610802532,56.8729569143838,1,3.9166665,5.666667,13.6666655,38,1.2421731057165,4.35896650509751,4.95420051243946e-09,0.000658971583137213
"Betweenness",1998.999984,17.3826085565217,58.8798791675675,3466.84017078734,0,0,0,6.6875,484.291656,5.72533061546705,40.6318985005902,9.86992505495391e-21,3.88578058618805e-15
"Betweenness2",175.888834,1.52946812173913,4.51309005482323,20.3679818429444,0,0.012291,0.165906,0.813126,30.806948,4.44337587186056,24.0581757671106,4.32522015184664e-20,2.96429547574917e-14
"EffSize",454.905495,3.95569995652174,4.88252905657601,23.8390899883091,0,2,2.625,4,32.128571,3.26942855153853,15.1344975693194,3.19150862051829e-16,1.06023064994076e-07
"Efficiency",78.267817,0.680589713043478,0.279829429810556,0.0783045097881011,0,0.52,0.70202,0.917313,1,-0.976869703502462,3.59105678773268,3.57269768474525e-08,0.0497370445490503
"Constraint",39.259868,0.341390156521739,0.217033176818482,0.0471033998399227,0,0.236524,0.322471,0.400791,1,1.22283780540416,5.43206800866096,2.02794054311343e-08,0.00434903504557405
"Hierarchy",11.722215,0.111640142857143,0.214452771753633,0.0459899913128159,0,0.005592,0.035043,0.133851,1,3.4046605304614,14.3448299137441,4.22040080654694e-17,NA
"Indirects",19.013653,0.165336113043478,0.169882758131547,0.0288601515103818,0,0,0.126984,0.263677,0.668161,0.874371143689153,2.82432713223317,1.48156661401185e-08,0.00376959834350554
"wmc",1608,13.9826086956522,21.5756452237059,465.508466819222,1,3,6,12,131,3.49022600981102,17.0938501894097,6.02636155806241e-17,2.27521201878744e-09
"dit",223,1.93913043478261,1.11045238546341,1.23310450038139,1,1,2,3,6,1.08541666996516,3.76493247734759,2.62713120208753e-11,1.50228614396175e-05
"noc",51,0.443478260869565,1.27864583211965,1.63493516399695,0,0,0,0,11,5.62628895688902,43.0770346408825,6.28407605344083e-20,1.01718633516157e-12
"cbo",852,7.40869565217391,8.30017506914702,68.8929061784897,0,3,6,8,53,3.03630485171,14.1435033410044,1.13348839809298e-14,8.12477376721521e-06
